Time | N/A | N/A | N/A | N/A | N/A | N/A | _Vind,_kias | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | elev,stick | ailrn,stick | ruddr,stick | N/A | N/A | N/A | N/A | N/A | N/A | ___Q,rad/s | ___P,rad/s | ___R,rad/s | N/A | N/A | N/A | N/A | N/A | N/A | pitch,__deg | _roll,__deg | N/A | hding,__mag | N/A | N/A | N/A | N/A | N/A | N/A | _beta,__deg | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | __alt,ftmsl | N/A | N/A | N/A | N/A | N/A | N/A | thro1,_part | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | trq_1,ftlb | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | rpm_1,_prop | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | ptch1,__deg | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N1__1,_pcnt | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N2__1,_pcnt | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | FF_1,__galh | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | ITT_1,__deg | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | v-spd,__fpm | N/A | N/A | N/A | N/A | N/A | N/A |
165.860 | 0.000 | -999.000 | 12.426 | 12.426 | 197.424 | 0.000 | 110.174 | 120.211 | 131.459 | 96.525 | -999.000 | 126.785 | 151.280 | 151.280 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.039 | 0.002 | 0.022 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -34.803 | 0.353 | 324.240 | 324.196 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 7.957 | -1.336 | 325.993 | -42.755 | -999.000 | -999.000 | -999.000 | -2.153 | 0.000 | 50.882 | 0.149 | 5,986.350 | 5,982.952 | 0.000 | 5,905.368 | 50.500 | 0.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 3,787.428 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 400.677 | 2,458.143 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.933 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 89.057 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 97.044 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 27.293 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 580.144 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 96.525 | -9,037.493 | -999.000 | -872,346.900 | -999.000 | -999.000 | -999.000 | -999.000 | 
166.054 | 0.000 | -999.000 | 12.426 | 12.426 | 197.424 | 0.000 | 111.921 | 122.047 | 133.408 | 96.993 | -999.000 | 128.796 | 153.523 | 153.523 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.038 | -0.003 | -0.003 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -35.210 | 0.291 | 324.342 | 324.298 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 8.156 | -1.273 | 326.036 | -43.361 | -999.000 | -999.000 | -999.000 | -1.647 | 0.000 | 50.882 | 0.149 | 5,956.819 | 5,953.424 | 0.000 | 5,933.842 | 50.500 | 0.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 3,918.402 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 400.243 | 2,455.477 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.825 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 89.436 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 96.928 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 27.710 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 583.001 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 96.993 | -9,275.829 | -999.000 | -899,693.000 | -999.000 | -999.000 | -999.000 | -999.000 | 
166.192 | 0.000 | -999.000 | 12.426 | 12.426 | 197.424 | 0.000 | 113.172 | 123.368 | 134.806 | 97.362 | -999.000 | 130.236 | 155.132 | 155.132 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.043 | -0.006 | -0.013 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -35.530 | 0.308 | 324.252 | 324.208 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 8.238 | -1.349 | 326.059 | -43.760 | -999.000 | -999.000 | -999.000 | -1.358 | 0.000 | 50.882 | 0.149 | 5,935.263 | 5,931.870 | 0.000 | 5,945.903 | 50.500 | 0.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 4,030.981 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 400.096 | 2,454.577 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.724 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 89.764 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 96.880 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 28.094 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 585.267 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 97.362 | -9,442.078 | -999.000 | -919,298.900 | -999.000 | -999.000 | -999.000 | -999.000 | 
166.385 | 0.000 | -999.000 | 12.426 | 12.426 | 197.424 | 0.000 | 114.933 | 125.217 | 136.763 | 97.944 | -999.000 | 132.262 | 157.384 | 157.384 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.046 | -0.009 | -0.012 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -36.026 | 0.335 | 324.066 | 324.022 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 8.245 | -1.487 | 326.075 | -44.262 | -999.000 | -999.000 | -999.000 | -1.090 | 0.000 | 50.882 | 0.149 | 5,904.495 | 5,901.105 | 0.000 | 5,953.102 | 50.500 | 0.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 4,174.300 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 400.022 | 2,454.120 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.644 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 90.176 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 96.855 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 28.592 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 588.427 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 97.944 | -9,666.246 | -999.000 | -946,749.300 | -999.000 | -999.000 | -999.000 | -999.000 | 
166.615 | 0.000 | -999.000 | 12.426 | 12.426 | 197.424 | 0.000 | 117.044 | 127.428 | 139.098 | 98.679 | -999.000 | 134.692 | 160.071 | 160.071 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.042 | -0.009 | -0.003 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -36.612 | 0.286 | 323.940 | 323.896 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 8.212 | -1.560 | 326.082 | -44.812 | -999.000 | -999.000 | -999.000 | -0.880 | 0.000 | 50.882 | 0.149 | 5,866.858 | 5,863.473 | 0.000 | 5,949.771 | 50.500 | 0.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 4,313.419 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 399.939 | 2,453.613 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.652 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 90.563 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 96.837 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 29.077 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 592.011 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 98.679 | -9,927.793 | -999.000 | -979,663.600 | -999.000 | -999.000 | -999.000 | -999.000 | 
166.812 | 0.000 | -999.000 | 12.426 | 12.426 | 197.424 | 0.000 | 118.865 | 129.321 | 141.093 | 99.323 | -999.000 | 136.787 | 162.367 | 162.367 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.038 | -0.011 | 0.004 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -37.063 | 0.168 | 323.951 | 323.907 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 8.208 | -1.526 | 326.084 | -45.255 | -999.000 | -999.000 | -999.000 | -0.726 | 0.000 | 50.883 | 0.149 | 5,833.941 | 5,830.560 | 0.000 | 5,938.901 | 50.500 | 0.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 4,419.766 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 399.825 | 2,452.911 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.696 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 90.850 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 96.812 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 29.612 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 594.976 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 99.323 | -10,148.250 | -999.000 | -1,007,954.000 | -999.000 | -999.000 | -999.000 | -999.000 | 
167.007 | 0.000 | -999.000 | 12.426 | 12.426 | 197.425 | 0.000 | 120.687 | 131.206 | 143.078 | 99.974 | -999.000 | 138.884 | 164.651 | 164.651 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.035 | -0.011 | 0.006 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -37.469 | 0.000 | 324.030 | 323.986 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 8.223 | -1.441 | 326.093 | -45.674 | -999.000 | -999.000 | -999.000 | -0.542 | 0.000 | 50.883 | 0.149 | 5,800.497 | 5,797.119 | 0.000 | 5,922.481 | 50.500 | 0.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 4,527.693 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 399.674 | 2,451.990 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.744 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 91.134 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 96.778 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 30.321 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 597.926 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 99.974 | -10,365.270 | -999.000 | -1,036,261.000 | -999.000 | -999.000 | -999.000 | -999.000 | 
167.208 | 0.000 | -999.000 | 12.426 | 12.426 | 197.425 | 0.000 | 122.573 | 133.147 | 145.117 | 100.670 | -999.000 | 141.054 | 166.997 | 166.997 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.033 | -0.010 | 0.003 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -37.861 | -0.158 | 324.096 | 324.052 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 8.235 | -1.374 | 326.108 | -46.075 | -999.000 | -999.000 | -999.000 | -0.324 | 0.000 | 50.883 | 0.149 | 5,765.373 | 5,761.998 | 0.000 | 5,901.037 | 50.500 | 0.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 4,645.741 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 399.502 | 2,450.930 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.759 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 91.440 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 96.737 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 31.093 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 601.011 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 100.670 | -10,584.560 | -999.000 | -1,065,551.000 | -999.000 | -999.000 | -999.000 | -999.000 | 
167.400 | 0.000 | -999.000 | 12.427 | 12.427 | 197.425 | 0.000 | 124.381 | 135.002 | 147.061 | 101.365 | -999.000 | 143.135 | 169.235 | 169.235 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.031 | -0.010 | -0.001 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -38.217 | -0.276 | 324.107 | 324.063 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 8.235 | -1.350 | 326.123 | -46.428 | -999.000 | -999.000 | -999.000 | -0.118 | 0.000 | 50.883 | 0.149 | 5,731.139 | 5,727.767 | 0.000 | 5,877.229 | 50.500 | 0.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 4,766.678 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 399.324 | 2,449.841 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.747 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 91.746 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 96.694 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 31.893 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 604.026 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 101.365 | -10,789.820 | -999.000 | -1,093,704.000 | -999.000 | -999.000 | -999.000 | -999.000 | 
167.596 | 0.000 | -999.000 | 12.427 | 12.427 | 197.425 | 0.000 | 126.238 | 136.895 | 149.042 | 102.092 | -999.000 | 145.272 | 171.515 | 171.515 | 0.000 | 0.000 | 0.000 | 0.000 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -0.029 | -0.011 | -0.002 | -999.000 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | -38.557 | -0.383 | 324.085 | 324.041 | -999.000 | -999.000 | -999.000 | -999.000 | 0.000 | 8.236 | -1.350 | 326.136 | -46.766 | -999.000 | -999.000 | -999.000 | 0.071 | 0.000 | 50.883 | 0.149 | 5,695.473 | 5,692.104 | 0.000 | 5,850.201 | 50.500 | 0.000 | 0.000 | 1.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 4,898.688 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 399.135 | 2,448.682 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | -4.000 | 1.733 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 92.076 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 96.649 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 50.000 | 0.000 | 32.757 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 607.192 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 0.000 | 102.092 | -10,996.350 | -999.000 | -1,122,636.000 | -999.000 | -999.000 | -999.000 | -999.000 | 
